d-16-000	Funderingskonstructie
d-23-181	betonvloer met randbalk	d-23-000
d-23-182	betonvloer met randbalk	d-23-000
d-23-183	betonvloer met randbalk	d-23-000
d-23-184	betonvloer met randbalk	d-23-000
d-23-185	betonvloer met randbalk	d-23-000

d-24-000	Trappen, hellingen
d-24-001	betontrap optrede 150 mm aantrede 250 mm	d-24-000
d-24-002	betontrap optrede 150 mm aantrede 280 mm	d-24-000
d-24-003	betontrap optrede 150 mm aantrede 300 mm	d-24-000
d-24-004	betontrap optrede 180 mm aantrede 250 mm	d-24-000
d-24-005	betontrap optrede 180 mm aantrede 280 mm	d-24-000
d-24-006	betontrap optrede 180 mm aantrede 300 mm	d-24-000

d-28-000	Hoofddraagkonstructies
D-28-052	HE140B	d-28-000
D-28-053	HE160B	d-28-000
D-28-054	HE180B	d-28-000
D-28-055	HE200B	d-28-000
D-28-056	HE220B	d-28-000
D-28-057	HE240B	d-28-000
D-28-058	HE260B	d-28-000
D-28-059	HE280B	d-28-000
D-28-060	HE300B	d-28-000
D-28-061	HE320B	d-28-000
D-28-062	HE340B	d-28-000
D-28-063	HE360B	d-28-000
D-28-064	HE400B	d-28-000
D-28-065	HE450B	d-28-000
D-28-066	HE500B	d-28-000
D-28-067	HE550B	d-28-000
D-28-068	HE600B	d-28-000
D-28-069	HE650B	d-28-000
D-28-070	HE700B	d-28-000
D-28-071	HE800B	d-28-000
D-28-072	HE900B	d-28-000
D-28-073	HE1000B	d-28-000
D-28-074	HE100M	d-28-000
D-28-075	HE120M	d-28-000
D-28-076	HE140M	d-28-000
D-28-077	HE160M	d-28-000
D-28-078	HE180M	d-28-000
D-28-079	HE200M	d-28-000
D-28-080	HE220M	d-28-000
D-28-081	HE240M	d-28-000
D-28-082	HE260M	d-28-000
D-28-083	HE280M	d-28-000
D-28-084	HE300M	d-28-000
D-28-085	HE320M	d-28-000
D-28-086	HE340M	d-28-000
D-28-087	HE360M	d-28-000
D-28-088	HE400M	d-28-000
D-28-089	HE450M	d-28-000
D-28-090	HE500M	d-28-000
D-28-091	HE550M	d-28-000
D-28-092	HE600M	d-28-000
D-28-093	HE650M	d-28-000
D-28-094	HE700M	d-28-000
D-28-095	HE800M	d-28-000
D-28-096	HE900M	d-28-000
D-28-097	HE1000M	d-28-000
d-27-101	stalen dakplaat hoog 100 mm 0,7 mm dik	d-28-000
d-27-102	stalen dakplaat hoog 100 mm 0,9 mm dik	d-28-000
d-27-103	stalen dakplaat hoog 100 mm 1,2 mm dik	d-28-000
d-27-104	stalen dakplaat hoog 19 mm 0,7 mm dik	d-28-000
d-27-105	stalen dakplaat hoog 19 mm 0,9 mm dik	d-28-000
d-27-106	stalen dakplaat hoog 19 mm 1,2 mm dik	d-28-000
d-27-107	stalen dakplaat hoog 35 mm 0,7 mm dik	d-28-000
d-27-108	stalen dakplaat hoog 35 mm 0,9 mm dik	d-28-000
d-27-109	stalen dakplaat hoog 35 mm 1,2 mm dik	d-28-000
d-27-110	stalen dakplaat hoog 46 mm 0,7 mm dik	d-28-000
d-27-111	stalen dakplaat hoog 46 mm 0,9 mm dik	d-28-000
d-27-112	stalen dakplaat hoog 46 mm 1,2 mm dik	d-28-000
d-27-113	stalen dakplaat hoog 60 mm 0,7 mm dik	d-28-000
d-27-114	stalen dakplaat hoog 60 mm 0,9 mm dik	d-28-000
d-27-115	stalen dakplaat hoog 60 mm 1,2 mm dik	d-28-000
d-27-116	stalen dakplaat	d-28-000
d-28-001	HE100A	d-28-000
d-28-002	HE120A	d-28-000
d-28-003	HE140A	d-28-000
d-28-004	HE160A	d-28-000
d-28-005	HE180A	d-28-000
d-28-006	HE200A	d-28-000
d-28-007	HE220A	d-28-000
d-28-008	HE240A	d-28-000
d-28-009	HE260A	d-28-000
d-28-010	HE280A	d-28-000
d-28-011	HE300A	d-28-000
d-28-012	HE320A	d-28-000
d-28-013	HE340A	d-28-000
d-28-014	HE360A	d-28-000
d-28-015	HE400A	d-28-000
d-28-016	HE450A	d-28-000
d-28-017	HE500A	d-28-000
d-28-018	HE550A	d-28-000
d-28-019	HE600A	d-28-000
d-28-020	HE650A	d-28-000
d-28-021	HE700A	d-28-000
d-28-022	HE800A	d-28-000
d-28-023	HE900A	d-28-000
