d-16-000	Funderingskonstructie
d-28-398	koker 400x400 mm 12,5 mm dik	d-28-000
d-28-399	koker 400x200 mm 12,5 mm dik	d-28-000
d-28-400	koker 400x200 mm 10 mm dik	d-28-000
d-28-401	koker 400x200 mm 16 mm dik	d-28-000
d-28-402	koker 350x350 mm 10 mm dik	d-28-000
d-28-403	koker 350x350 mm 12,5 mm dik	d-28-000
d-28-404	koker 350x350 mm 16 mm dik	d-28-000
d-28-405	koker 300x300 mm 16 mm dik	d-28-000
d-28-406	koker 300x300 mm 10 mm dik	d-28-000
d-28-407	koker 300x300 mm 12,5 mm dik	d-28-000
d-28-408	koker 300x200 mm 12,5 mm dik	d-28-000
d-28-409	koker 300x300 mm 8 mm dik	d-28-000
d-28-410	koker 300x200 mm 10 mm dik	d-28-000
d-28-411	koker 300x200 mm 16 mm dik	d-28-000
d-28-412	koker 300x200 mm 6,3 mm dik	d-28-000
d-28-413	koker 250x250 mm 6,3 mm dik	d-28-000
d-28-414	koker 250x250 mm 16 mm dik	d-28-000
d-28-415	koker 250x250 mm 12,5 mm dik	d-28-000
d-28-416	koker 250x250 mm 10 mm dik	d-28-000
d-28-417	koker 250x250 mm 8 mm dik	d-28-000
d-28-418	koker 250x150 mm 6,3 mm dik	d-28-000
d-28-419	koker 250x150 mm 12,5 mm dik	d-28-000
d-28-420	koker 250x150 mm 8 mm dik	d-28-000
d-28-421	koker 250x150 mm 10 mm dik	d-28-000
d-28-422	koker 250x150 mm 16 mm dik	d-28-000
d-28-423	koker 200x200 mm 12,5 mm dik	d-28-000
d-28-424	koker 200x200 mm 6,3 mm dik	d-28-000
d-28-425	koker 200x200 mm 10 mm dik	d-28-000
d-28-426	koker 200x200 mm 16 mm dik	d-28-000
d-28-427	koker 200x200 mm 8 mm dik	d-28-000
d-28-428	koker 200x100 mm 6,3 mm dik	d-28-000
d-28-429	koker 200x100 mm 16 mm dik	d-28-000
d-28-430	koker 200x100 mm 10 mm dik	d-28-000
d-28-431	koker 200x100 mm 12,5 mm dik	d-28-000
d-28-432	koker 200x100 mm 8 mm dik	d-28-000
d-28-433	koker 200x100 mm 5 mm dik	d-28-000
d-28-434	koker 180x180 mm 16 mm dik	d-28-000
d-28-435	koker 180x180 mm 8 mm dik	d-28-000
d-28-436	koker 180x180 mm 10 mm dik	d-28-000
d-28-437	koker 180x180 mm 12,5 mm dik	d-28-000
d-28-438	koker 180x180 mm 6,3 mm dik	d-28-000
d-28-439	koker 160x80 mm 10 mm dik	d-28-000
d-28-440	koker 160x80 mm 8 mm dik	d-28-000
d-28-441	koker 160x80 mm 6,3 mm dik	d-28-000
d-28-442	koker 160x80 mm 5 mm dik	d-28-000
d-28-443	koker 150x150 mm 5 mm dik	d-28-000
d-28-444	koker 150x150 mm 8 mm dik	d-28-000
d-28-445	koker 150x150 mm 12,5 mm dik	d-28-000
d-28-446	koker 150x150 mm 10mm dik	d-28-000
d-28-447	koker 150x150 mm 16 mm dik	d-28-000
d-28-448	koker 150x150 mm 6,3 mm dik	d-28-000
d-28-449	koker 150x100 mm 6,3 mm dik	d-28-000
d-28-450	koker 150x100 mm 8 mm dik	d-28-000
d-28-451	koker 150x100 mm 5 mm dik	d-28-000
d-28-452	koker 150x100 mm 10 mm dik	d-28-000
d-28-453	koker 120x120 mm 6,3 mm dik	d-28-000
d-28-454	koker 120x120 mm 10 mm dik	d-28-000
d-28-455	koker 120x120 mm 8 mm dik	d-28-000
d-28-456	koker 120x120 mm 5 mm dik	d-28-000
d-28-457	koker 120x80 mm 8 mm dik	d-28-000
d-28-458	koker 120x80 mm 10 mm dik	d-28-000
d-28-459	koker 120x80 mm 6,3 mm dik	d-28-000
d-28-460	koker 120x80 mm 5 mm dik	d-28-000
d-28-461	koker 120x60 mm 3,6 mm dik	d-28-000
d-28-462	koker 120x60 mm 5 mm dik	d-28-000
d-28-463	koker 120x60 mm 6,3 mm dik	d-28-000
d-28-464	koker 100x100 mm 6,3 mm dik	d-28-000
d-28-465	koker 100x100 mm 4 mm dik	d-28-000
d-28-466	koker 100x100 mm 10 mm dik	d-28-000
d-28-467	koker 100x100 mm 8 mm dik	d-28-000
d-28-468	koker 100x100 mm 5 mm dik	d-28-000
d-28-469	koker 100x60 mm 5 mm dik	d-28-000
d-28-470	koker 100x60 mm 3,6 mm dik	d-28-000
d-28-471	koker 100x60 mm 6,3 mm dik	d-28-000
d-28-472	koker 100x50 mm 5 mm dik	d-28-000
d-28-473	koker 100x50 mm 4 mm dik	d-28-000
d-28-474	koker 100x50 mm 3,2 mm dik	d-28-000
d-28-475	koker 90x90 mm 5 mm dik	d-28-000
d-28-476	koker 90x90 mm 3,6 mm dik	d-28-000
d-28-477	koker 90x90 mm 6,3 mm dik	d-28-000
d-28-478	koker 90x50 mm 3,6 mm dik	d-28-000
d-28-479	koker 90x50 mm 5 mm dik	d-28-000
d-28-480	koker 80x80 mm 3,6 mm dik	d-28-000
d-28-481	koker 80x80 mm 6,3 mm dik	d-28-000
d-28-482	koker 80x80 mm 5 mm dik	d-28-000
d-28-483	koker 80x40 mm 4 mm dik	d-28-000
d-28-484	koker 80x40 3,2 mm dik	d-28-000
d-28-485	koker 70x70 mm 3,6 mm dik	d-28-000
d-28-486	koker 70x70 mm 5 mm dik	d-28-000
d-28-487	koker 60x60 mm 4 mm dik	d-28-000
d-28-488	koker 60x60 mm 5 mm dik	d-28-000
d-28-489	koker 60x60 mm 3,2 mm dik	d-28-000
d-28-490	koker 60x40 mm 3,2 mm dik	d-28-000
d-28-491	koker 60x40 mm 4 mm dik	d-28-000
d-28-492	koker 50x50 mm 4 mm dik	d-28-000
d-28-493	koker 50x50 mm 3,2 mm dik	d-28-000
d-28-494	koker 50x50 mm 5 mm dik	d-28-000
d-28-495	koker 50x30 mm 3,2 mm dik	d-28-000
d-28-496	koker 50x30 mm 2,6 mm dik	d-28-000
d-28-497	koker 40x40 mm 4 mm dik	d-28-000
d-28-498	koker 40x40 mm 3,2 mm dik	d-28-000
d-28-499	koker 40x40 mm 2,6 mm dik	d-28-000
d-28-500	koker 30x30 mm 2,6 mm dik	d-28-000
d-28-501	koker 30x30 mm 3,2 mm dik	d-28-000
d-28-502	koker 20x20 mm 2,6 mm dik	d-28-000
d-28-503	koker 20x20 mm 2 mm dik	d-28-000
d-28-504	hoekstaal 20x20 mm 3 mm dik	d-28-000
d-28-505	hoekstaal 25x25 mm 3 mm dik	d-28-000
d-28-506	hoekstaal 25x25 mm 4 mm dik	d-28-000
d-28-507	hoekstaal 30x30 mm 3 mm dik	d-28-000
d-28-508	hoekstaal 30x30 mm 4 mm dik	d-28-000
d-28-509	hoekstaal 35x35 mm 4 mm dik	d-28-000
d-28-510	hoekstaal 40x40 mm 4 mm dik	d-28-000
d-28-511	hoekstaal 40x40 mm 5 mm dik	d-28-000
d-28-512	hoekstaal 45x45 mm 4,5 mm dik	d-28-000
d-28-513	hoekstaal 50x50 mm 4 mm dik	d-28-000
d-28-514	hoekstaal 50x50 mm 5 mm dik	d-28-000
d-28-515	hoekstaal 50x50 mm 6 mm dik	d-28-000
d-28-516	hoekstaal 60x60 mm 5 mm dik	d-28-000
d-28-517	hoekstaal 60x60 mm 6 mm dik	d-28-000
d-28-518	hoekstaal 60x60 mm 8 mm dik	d-28-000
d-28-519	hoekstaal 65x65 mm 7 mm dik	d-28-000
d-28-520	hoekstaal 70x70 mm 6 mm dik	d-28-000
d-28-521	hoekstaal 70x70 mm 7 mm dik	d-28-000
d-28-522	hoekstaal 75x75 mm 6 mm dik	d-28-000
d-28-523	hoekstaal 75x75 mm 8 mm dik	d-28-000
d-28-524	hoekstaal 80x80 mm 8 mm dik	d-28-000
d-28-525	hoekstaal 80x80 mm 10 mm dik	d-28-000
d-28-526	hoekstaal 90x90 mm 7 mm dik	d-28-000
d-28-527	hoekstaal 90x90 mm 8 mm dik	d-28-000
d-28-528	hoekstaal 90x90 mm 9 mm dik	d-28-000
d-28-529	hoekstaal 90x90 mm 10 mm dik	d-28-000
d-28-530	hoekstaal 100x100 mm 8 mm dik	d-28-000
d-28-531	hoekstaal 100x100 mm 10 mm dik	d-28-000
d-28-532	hoekstaal 100x100 mm 12 mm dik	d-28-000
d-28-533	hoekstaal 120x120 mm 10 mm dik	d-28-000
d-28-534	hoekstaal 120x120 mm 12 mm dik	d-28-000
d-28-535	hoekstaal 130x130 mm 12 mm dik	d-28-000
d-28-536	hoekstaal 150x150 mm 10 mm dik	d-28-000
d-28-537	hoekstaal 150x150 mm 12 mm dik	d-28-000
d-28-538	hoekstaal 150x150 mm 15 mm dik	d-28-000
d-28-539	hoekstaal 160x160 mm 15 mm dik	d-28-000
d-28-540	hoekstaal 180x180 mm 16 mm dik	d-28-000
d-28-541	hoekstaal 180x180 mm 18 mm dik	d-28-000
d-28-542	hoekstaal 200x200 mm 16 mm dik	d-28-000
d-28-543	hoekstaal 200x200 mm 18 mm dik	d-28-000
d-28-544	hoekstaal 200x200 mm 20 mm dik	d-28-000
d-28-545	hoekstaal 200x200 mm 24 mm dik	d-28-000
d-28-546	hoekstaal 250x250 mm 28 mm dik	d-28-000
d-28-547	hoekstaal 250x250 mm 35 mm dik	d-28-000
d-28-548	hoekstaal 30x20 mm 3 mm dik	d-28-000
d-28-549	hoekstaal 30x20 mm 4 mm dik	d-28-000
d-28-550	hoekstaal 40x20 mm 4 mm dik	d-28-000
d-28-551	hoekstaal 40x25 mm 4 mm dik	d-28-000
d-28-552	hoekstaal 45x30 mm 4 mm dik	d-28-000
d-28-553	hoekstaal 50x30 mm 5 mm dik	d-28-000
d-28-554	hoekstaal 60x30 mm 5 mm dik	d-28-000
d-28-555	hoekstaal 60x40 mm 5 mm dik	d-28-000
d-28-556	hoekstaal 60x40 mm 6 mm dik	d-28-000
d-28-557	hoekstaal 65x50 mm 5 mm dik	d-28-000
d-28-558	hoekstaal 70x50 mm 6 mm dik	d-28-000
d-28-559	hoekstaal 75x50 mm 6 mm dik	d-28-000
d-28-560	hoekstaal 75x50 mm 8 mm dik	d-28-000
d-28-561	hoekstaal 80x40 mm 6 mm dik	d-28-000
d-28-562	hoekstaal 80x40 mm 8 mm dik	d-28-000
d-28-563	hoekstaal 80x60 mm 7 mm dik	d-28-000
d-28-564	hoekstaal 100x50 mm 6 mm dik	d-28-000
d-28-565	hoekstaal 100x50 mm 8 mm dik	d-28-000
d-28-566	hoekstaal 100x65 mm 7 mm dik	d-28-000
d-28-567	hoekstaal 100x65 mm 8 mm dik	d-28-000
d-28-568	hoekstaal 100x65 mm 10 mm dik	d-28-000
d-28-569	hoekstaal 100x75 mm 8 mm dik	d-28-000
d-28-570	hoekstaal 100x75 mm 10 mm dik	d-28-000
d-28-571	hoekstaal 100x75 mm 12 mm dik	d-28-000
d-28-572	hoekstaal 120x80 mm 8 mm dik	d-28-000
d-28-573	hoekstaal 120x80 mm 10 mm dik	d-28-000
d-28-574	hoekstaal 120x80 mm 12 mm dik	d-28-000
d-28-575	hoekstaal 125x75 mm 8 mm dik	d-28-000
d-28-576	hoekstaal 125x75 mm 10 mm dik	d-28-000
d-28-577	hoekstaal 125x75 mm 12 mm dik	d-28-000
d-28-578	hoekstaal 135x65 mm 8 mm dik	d-28-000
d-28-579	hoekstaal 135x65 mm 10 mm dik	d-28-000
d-28-580	hoekstaal 150x75 mm 9 mm dik	d-28-000
d-28-581	hoekstaal 150x75 mm 10 mm dik	d-28-000
d-28-582	hoekstaal 150x75 mm 12 mm dik	d-28-000
d-28-583	hoekstaal 150x75 mm 15 mm dik	d-28-000
d-28-584	hoekstaal 150x90 mm 10 mm dik	d-28-000
d-28-585	hoekstaal 150x90 mm 12 mm dik	d-28-000
d-28-586	hoekstaal 150x90 mm 15 mm dik	d-28-000
d-28-587	hoekstaal 150x100 mm 10 mm dik	d-28-000
d-28-588	hoekstaal 150x100 mm 12 mm dik	d-28-000
d-28-589	hoekstaal 200x100 mm 10 mm dik	d-28-000
d-28-590	hoekstaal 200x100 mm 12 mm dik	d-28-000
d-28-591	hoekstaal 200x100 mm 15 mm dik	d-28-000
d-28-592	hoekstaal 200x150 mm 12 mm dik	d-28-000
d-28-593	hoekstaal 200x150 mm 15 mm dik	d-28-000
d-28-594	T- profiel 20 mm	d-28-000
d-28-595	T- profiel 25 mm	d-28-000
d-28-596	T- profiel 30 mm	d-28-000
d-28-597	T- profiel 35 mm	d-28-000
d-28-598	T- profiel 40 mm	d-28-000
d-28-599	T- profiel 45 mm	d-28-000
d-28-600	T- profiel 50 mm	d-28-000
d-28-601	T- profiel 60 mm	d-28-000
d-28-602	T- profiel 70 mm	d-28-000
d-28-603	T- profiel 80 mm	d-28-000
d-28-604	T- profiel 90 mm	d-28-000
d-28-605	T- profiel 100 mm	d-28-000
d-28-606	T- profiel 120 mm	d-28-000
d-28-607	T- profiel 140 mm	d-28-000
d-28-608	TB- profiel 30 mm	d-28-000
d-28-609	TB- profiel 35 mm	d-28-000
d-28-610	TB- profiel 40 mm	d-28-000
d-28-611	TB- profiel 50 mm	d-28-000
d-28-612	TB- profiel 60 mm	d-28-000
d-28-613	U profiel 50 mm	d-28-000
d-28-614	U profiel 60 mm	d-28-000
d-28-615	U profiel 65 mm	d-28-000
d-28-616	U profiel 80 mm	d-28-000
d-28-617	U profiel 100 mm	d-28-000
d-28-618	U profiel 120 mm	d-28-000
d-28-619	U profiel 140 mm	d-28-000
d-28-620	U profiel 160 mm	d-28-000
d-28-621	U profiel 180 mm	d-28-000
d-28-622	U profiel 200 mm	d-28-000
d-28-623	U profiel 220 mm	d-28-000
d-28-624	U profiel 240 mm	d-28-000
d-28-625	U profiel 260 mm	d-28-000
d-28-626	U profiel 280 mm	d-28-000
d-28-627	U profiel 300 mm	d-28-000
d-28-628	U profiel 320 mm	d-28-000
d-28-629	U profiel 350 mm	d-28-000
d-28-630	U profiel 380 mm	d-28-000
d-28-631	U profiel 400 mm	d-28-000
d-28-632	UPE profiel 80 mm	d-28-000
d-28-633	UPE profiel 100 mm	d-28-000
d-28-634	UPE profiel 120 mm	d-28-000
d-28-635	UPE profiel 140 mm	d-28-000
d-28-636	UPE profiel 160 mm	d-28-000
d-28-637	UPE profiel 180 mm	d-28-000
d-28-638	UPE profiel 200 mm	d-28-000
d-28-639	UPE profiel 220 mm	d-28-000
d-28-640	UPE profiel 240 mm	d-28-000
d-28-641	UPE profiel 270 mm	d-28-000
d-28-642	UPE profiel 300 mm	d-28-000
d-28-643	UPE profiel 330 mm	d-28-000
d-28-644	UPE profiel 360 mm	d-28-000
d-28-645	UPE profiel 400 mm	d-28-000
d-28-701	betonbalk 450x500 mm l-vorm	d-28-000
d-28-702	betonbalk 450x600 mm l-vorm	d-28-000
d-28-703	betonbalk 450x700 mm l-vorm	d-28-000
d-28-704	betonbalk 450x800 mm l-vorm	d-28-000
d-28-705	betonbalk 450x900 mm l-vorm	d-28-000
d-28-706	betonbalk 450x1000 mm l-vorm	d-28-000
d-28-707	betonbalk 450x1100 mm l-vorm	d-28-000
d-28-708	betonbalk 450x1200 mm l-vorm	d-28-000
d-28-709	betonbalk 450x1300 mm l-vorm	d-28-000
d-28-710	betonbalk 450x1400 mm l-vorm	d-28-000
d-28-711	betonbalk 450x1500 mm l-vorm	d-28-000
d-28-721	betonbalk 200x400 mm	d-28-000
d-28-722	betonbalk 250x300 mm	d-28-000
d-28-723	betonbalk 250x400 mm	d-28-000
d-28-724	betonbalk 250x450 mm	d-28-000
d-28-725	betonbalk 300x500 mm	d-28-000
d-28-726	betonbalk 300x600 mm	d-28-000
d-28-727	betonbalk	d-28-000
d-28-741	betonbalk rond 200 mm	d-28-000
d-28-742	betonbalk rond 250 mm	d-28-000
d-28-743	betonbalk rond 300 mm	d-28-000
d-28-744	betonbalk rond 350 mm	d-28-000
d-28-745	betonbalk rond 400 mm	d-28-000
d-28-746	betonbalk rond 500 mm	d-28-000
d-28-747	betonbalk rond 600 mm	d-28-000
d-28-748	betonbalk rond 700 mm	d-28-000
d-28-749	betonbalk rond 800 mm	d-28-000
d-28-750	betonbalk rond 900 mm	d-28-000
d-28-761	betonbalk 600x500 mm t- vorm	d-28-000
d-28-762	betonbalk 600x600 mm t- vorm	d-28-000
d-28-763	betonbalk 600x700 mm t- vorm	d-28-000
d-28-764	betonbalk 600x800 mm t- vorm	d-28-000
d-28-765	betonbalk 600x900 mm t- vorm	d-28-000
d-28-766	betonbalk 600x1000 mm t- vorm	d-28-000
d-28-767	betonbalk 600x1100 mm t- vorm	d-28-000
d-28-768	betonbalk 600x1200 mm t- vorm	d-28-000
d-28-769	betonbalk 600x1300 mm t- vorm	d-28-000
d-28-770	betonbalk 600x1400 mm t- vorm	d-28-000
d-28-771	betonbalk 600x1500 mm t- vorm	d-28-000
d-28-781	betonbalk 200x200 mm	d-28-000
d-28-782	betonbalk 250x250 mm	d-28-000
d-28-783	betonbalk 300x300 mm	d-28-000
d-28-784	betonbalk 350x350 mm	d-28-000
d-28-785	betonbalk 400x400 mm	d-28-000
d-28-786	betonbalk 500x500 mm	d-28-000
d-28-787	betonbalk 600x600 mm	d-28-000
d-28-788	betonbalk	d-28-000
d-28-901	wapeningstaal R8	d-28-000
d-28-902	wapeningstaal R10	d-28-000
d-28-903	wapeningstaal R12	d-28-000
d-28-904	wapeningstaal R14	d-28-000
d-28-905	wapeningstaal R16	d-28-000
d-28-906	wapeningstaal T8	d-28-000
d-28-907	wapeningstaal T10	d-28-000
d-28-908	wapeningstaal T12	d-28-000
d-28-909	wapeningstaal T14	d-28-000
d-28-910	wapeningstaal T16	d-28-000
d-28-911	wapeningstaal T18	d-28-000
d-28-912	wapeningstaal T20	d-28-000

d-31-000	Wandopeningen, buiten
d-31-001	houten onderdorpel 90x114 mm	d-31-000
d-31-002	houten onderdorpel 90x114 mm	d-31-000
d-31-003	houten onderdorpel 67x114 mm	d-31-000
d-31-004	houten onderdorpel 67x114 mm	d-31-000
d-31-005	spouwlat 38x120 mm	d-31-000
d-31-006	spouwlat 38x96 mm	d-31-000
d-31-007	houten stijl 90x114 mm	d-31-000
d-31-008	houten stijl 67x114 mm	d-31-000
d-31-009	houten tussendorpel 90x114 mm	d-31-000
d-31-010	houten tussendorpel 67x114 mm	d-31-000
d-31-011	houten kalf 90x114 mm	d-31-000
d-31-012	houten kalf 67x114 mm	d-31-000
d-31-101	stalen kozijn type 01-310	d-31-000
d-31-102	stalen kozijn type 01-320	d-31-000
d-31-103	stalen kozijn type 01-330	d-31-000
d-31-104	stalen kozijn type 01-340	d-31-000
d-31-105	stalen kozijn type 02-330	d-31-000
d-31-106	spouwlat 38x96 mm	d-31-000
d-31-107	spouwlat 38x120 mm	d-31-000

d-32-000	Wandopeningen, binnen
d-32-001	stelkozijn 20x70 mm	d-32-000
d-32-002	stelkozijn 20x100 mm	d-32-000
d-32-003	stelkozijn	d-32-000
d-32-004	stalen kozijn 100 mm opdek deur	d-32-000
d-32-005	stalen kozijn 70 mm opdek deur	d-32-000
d-32-006	stalen kozijn 100 mm stompe deur	d-32-000
d-32-007	stalen kozijn 70 mm stompe deur	d-32-000
d-32-008	houten kozijn 100 mm opdek deur	d-32-000
d-32-009	houten kozijn 70 mm opdek deur	d-32-000
d-32-010	houten kozijn 100 mm stompe deur	d-32-000
d-32-011	houten kozijn 70 mm stompe deur	d-32-000
d-32-012	opdekdeur	d-32-000
d-32-013	stompe deur	d-32-000
d-32-014	deur	d-32-000

d-40-000	Afwerking
d-40-001	spaanplaat beplating 4 mm dik	d-40-000
d-40-002	spaanplaat beplating 6 mm dik	d-40-000
d-40-003	spaanplaat beplating 8 mm dik	d-40-000
d-40-004	spaanplaat beplating 10 mm dik	d-40-000
d-40-005	spaanplaat beplating 12 mm dik	d-40-000
d-40-006	spaanplaat beplating 16 mm dik	d-40-000
d-40-007	spaanplaat beplating 18 mm dik	d-40-000
d-40-008	spaanplaat beplating 20 mm dik	d-40-000
d-40-009	spaanplaat beplating 22 mm dik	d-40-000
d-40-010	spaanplaat beplating	d-40-000
d-40-011	multiplex beplating 12 mm dik	d-40-000
d-40-012	multiplex beplating 18 mm dik	d-40-000
d-40-013	multiplex beplating 20 mm dik	d-40-000
d-40-014	multiplex beplating 22 mm dik	d-40-000
d-40-015	multiplex beplating	d-40-000
d-40-016	MDF beplating 4 mm dik	d-40-000
d-40-017	MDF beplating 6 mm dik	d-40-000
d-40-018	MDF beplating 8 mm dik	d-40-000
d-40-019	MDF beplating 10 mm dik	d-40-000
d-40-020	MDF beplating 12 mm dik	d-40-000
d-40-021	MDF beplating 16 mm dik	d-40-000
d-40-022	MDF beplating 18 mm dik	d-40-000
d-40-023	MDF beplating 20 mm dik	d-40-000
d-40-024	MDF beplating 22 mm dik	d-40-000
d-40-025	MDF beplating	d-40-000
d-40-026	isolatieplaat 40 mm dik	d-40-000
d-40-027	isolatieplaat 50 mm dik	d-40-000
d-40-028	isolatieplaat 60 mm dik	d-40-000
d-40-029	isolatieplaat 70 mm dik	d-40-000
d-40-030	isolatieplaat 80 mm dik	d-40-000
d-40-031	isolatieplaat 90 mm dik	d-40-000
d-40-032	isolatieplaat 100 mm dik	d-40-000
d-40-033	isolatieplaat 110 mm dik	d-40-000
d-40-034	isolatieplaat 120 mm dik	d-40-000
d-40-035	isolatieplaat 130 mm dik	d-40-000
d-40-036	isolatieplaat 140 mm dik	d-40-000
d-40-037	isolatieplaat	d-40-000
d-40-038	glas 4 mm dik	d-40-000
d-40-039	glas 6 mm dik	d-40-000
d-40-040	glas 8 mm dik	d-40-000
d-40-041	glas 10 mm dik	d-40-000
d-40-042	glas 12 mm dik	d-40-000
d-40-043	glas	d-40-000
d-40-044	gipsplaat 8 mm dik	d-40-000
d-40-045	gipsplaat 10 mm dik	d-40-000
d-40-046	gipsplaat 12,5 mm dik	d-40-000
d-40-047	gipsplaat	d-40-000
d-40-048	stucwerk 10 mm dik	d-40-000
d-40-049	stucwerk 15 mm dik	d-40-000
d-40-050	stucwerk 20 mm	d-40-000
d-40-051	stucwerk	d-40-000
d-40-100	draadnagel	d-40-000
d-40-150	bouten M-	d-40-000
d-40-200	houtdraadbout	d-40-000
d-40-250	ankerbouten met hoek	d-40-000
d-40-300	keilbout	d-40-000
d-40-350	bouten met bolkop	d-40-000
d-40-400	bouten	d-40-000
d-40-501	houten regelwerk ongeschaafd 16x63 mm	d-40-000
d-40-502	houten regelwerk ongeschaafd 19x63 mm	d-40-000
d-40-503	houten regelwerk ongeschaafd 22x32 mm	d-40-000
d-40-504	houten regelwerk ongeschaafd 22x50 mm	d-40-000
d-40-505	houten regelwerk ongeschaafd 22x70 mm	d-40-000
d-40-506	houten regelwerk ongeschaafd 22x75 mm	d-40-000
d-40-507	houten regelwerk ongeschaafd 32x50 mm	d-40-000
d-40-508	houten regelwerk ongeschaafd 32x63 mm	d-40-000
d-40-509	houten regelwerk ongeschaafd 32x75 mm	d-40-000
d-40-510	houten regelwerk ongeschaafd 38x50 mm	d-40-000
d-40-511	houten regelwerk ongeschaafd 38x63 mm	d-40-000
d-40-512	houten regelwerk ongeschaafd 38x75 mm	d-40-000
d-40-513	houten regelwerk ongeschaafd 50x50 mm	d-40-000
d-40-514	houten regelwerk ongeschaafd 50x63 mm	d-40-000
d-40-515	houten regelwerk ongeschaafd 50x70 mm	d-40-000
d-40-516	houten regelwerk ongeschaafd 50x75 mm	d-40-000
d-40-517	houten regelwerk ongeschaafd 63x75 mm	d-40-000
d-40-518	houten regelwerk ongeschaafd	d-40-000
d-40-519	houten regelwerk geschaafd 12x59 mm	d-40-000
d-40-520	houten regelwerk geschaafd 15x59 mm	d-40-000
d-40-521	houten regelwerk geschaafd 19x28 mm	d-40-000
d-40-522	houten regelwerk geschaafd 19x46 mm	d-40-000
d-40-523	houten regelwerk geschaafd 19x59 mm	d-40-000
d-40-524	houten regelwerk geschaafd 19x71 mm	d-40-000
d-40-525	houten regelwerk geschaafd 28x46 mm	d-40-000
d-40-526	houten regelwerk geschaafd 28x59 mm	d-40-000
d-40-527	houten regelwerk geschaafd 28x71 mm	d-40-000
d-40-528	houten regelwerk geschaafd 34x46 mm	d-40-000
d-40-529	houten regelwerk geschaafd 34x59 mm	d-40-000
d-40-530	houten regelwerk geschaafd 34x71 mm	d-40-000
d-40-531	houten regelwerk geschaafd 46x46 mm	d-40-000
d-40-532	houten regelwerk geschaafd 46x59 mm	d-40-000
d-40-533	houten regelwerk geschaafd 46x66 mm	d-40-000
d-40-534	houten regelwerk geschaafd 46x71 mm	d-40-000
d-40-535	houten regelwerk geschaafd 59x71 mm	d-40-000
d-40-536	houten regelwerk geschaafd	d-40-000

d-43-000	Vloerafwerkingen
d-43-001	Vloerbedekking tapijttegels 6 mm dik	d-43-000
d-43-002	Vloerbedekking tapijttegels 9 mm dik	d-43-000
d-43-003	vloerbedekking 9 mm dik	d-43-000
d-43-004	vloerbedekking 6 mm dik	d-43-000
d-43-005	vloerbedekking 4 mm dik	d-43-000

d-52-000	Riolerings installaties
d-52-001	PVC riolering rond 110 mm 2 mm dik	d-52-000
d-52-002	PVC riolering rond 110 mm 2,2 mm dik	d-52-000
d-52-003	PVC riolering rond 110 mm 3,2 mm dik	d-52-000
d-52-004	PVC riolering rond 125 mm 2,5 mm dik	d-52-000
d-52-005	PVC riolering rond 125 mm 3,2 mm dik	d-52-000
d-52-006	PVC riolering rond 125 mm 3,7 mm dik	d-52-000
d-52-007	PVC riolering rond 160 mm 3,2 mm dik	d-52-000
d-52-008	PVC riolering rond 160 mm 3,9 mm dik	d-52-000
d-52-009	PVC riolering rond 160 mm 4,7 mm dik	d-52-000
d-52-010	PVC riolering rond 200 mm 3,1 mm dik	d-52-000
d-52-011	PVC riolering rond 200 mm 4 mm dik	d-52-000
d-52-012	PVC riolering rond 200 mm 4,9 mm dik	d-52-000
d-52-013	PVC riolering rond 200 mm 5,9 mm dik	d-52-000
d-52-014	PVC riolering rond 250 mm 3,8 mm dik	d-52-000
d-52-015	PVC riolering rond 250 mm 5 mm dik	d-52-000
d-52-016	PVC riolering rond 250 mm 6,1 mm dik	d-52-000
d-52-017	PVC riolering rond 250 mm 7,3 mm dik	d-52-000
d-52-020	PVC riolering rond 40 mm 3,2 mm dik	d-52-000
d-52-021	PVC riolering rond 50 mm 3,2 mm dik	d-52-000
d-52-022	PVC riolering rond 75 mm 3,2 mm dik	d-52-000
d-52-023	PVC riolering rond 90 mm 3,2 mm dik	d-52-000
d-52-024	PVC riolering rond 110 mm 2 mm dik	d-52-000
d-52-025	PVC riolering rond 110 mm 2,2 mm dik	d-52-000
d-52-026	PVC riolering rond 110 mm 3,2 mm dik	d-52-000
d-52-027	PVC riolering rond 125 mm 2,5 mm dik	d-52-000
d-52-028	PVC riolering rond 125 mm 3,2 mm dik	d-52-000
d-52-029	PVC riolering rond 125 mm 3,7 mm dik	d-52-000
d-52-030	PVC riolering rond 160 mm 3,2 mm dik	d-52-000
d-52-031	PVC riolering rond 160 mm 3,9 mm dik	d-52-000
d-52-032	PVC riolering rond 160 mm 4,7 mm dik	d-52-000
d-52-033	PVC riolering	d-52-000

d-63-000	Verlichtings installaties
d-63-001	armatuur opbouw 2 tl, 650x190 mm	d-63-000
d-63-002	armatuur opbouw 1 tl, 1260x190 mm	d-63-000
d-63-003	armatuur opbouw 2 tl, 1260x305 mm	d-63-000
d-63-004	armatuur opbouw 1 tl, 1560x190 mm	d-63-000
d-63-005	armatuur opbouw 2 tl, 1560x305 mm	d-63-000
d-63-006	armatuur inbouw 3 tl, 600x600 mm	d-63-000
d-63-007	armatuur inbouw 2 tl, 300x1200 mm	d-63-000
d-63-008	armatuur inbouw 3 tl, 600x1200 mm	d-63-000
d-63-009	armatuur inbouw spot 200 mm	d-63-000

d-65-000	Beveiligings installaties
